Frame,Frame Duration in Nanoseconds,,,,16045187.87,771064.592
662,15485000,,,,,
663,15742700,,,,,
664,15456300,,,,,
665,16844000,,,,,
666,16540400,,,,,
667,17111200,,,,,
668,17247900,,,,,
669,17986500,,,,,
670,17045300,,,,,
671,16860600,,,,,
672,16132600,,,,,
673,17307100,,,,,
674,15820100,,,,,
675,15562600,,,,,
676,14872100,,,,,
677,15431600,,,,,
678,15267400,,,,,
679,15958500,,,,,
680,16143400,,,,,
681,17253800,,,,,
682,16859900,,,,,
683,17407400,,,,,
684,16645600,,,,,
685,17132700,,,,,
686,16558400,,,,,
687,16541400,,,,,
688,14807400,,,,,
689,15684000,,,,,
690,15306500,,,,,
691,15675600,,,,,
692,14962500,,,,,
693,15847500,,,,,
694,15804200,,,,,
695,15830300,,,,,
696,15506900,,,,,
697,16644800,,,,,
698,15862900,,,,,
699,17280500,,,,,
700,14881500,,,,,
701,16090500,,,,,
702,14820600,,,,,
703,16058500,,,,,
704,15754100,,,,,
705,17138100,,,,,
706,16421200,,,,,
707,16910300,,,,,
708,17654600,,,,,
709,17126200,,,,,
710,16377700,,,,,
711,16611800,,,,,
712,17106500,,,,,
713,16475100,,,,,
714,15314500,,,,,
715,15575500,,,,,
716,15242700,,,,,
717,15882400,,,,,
718,15707300,,,,,
719,16912900,,,,,
720,15842400,,,,,
721,16689300,,,,,
722,15438500,,,,,
723,15800000,,,,,
724,14985900,,,,,
725,15666300,,,,,
726,15309700,,,,,
727,15622700,,,,,
728,15315700,,,,,
729,16369500,,,,,
730,16488200,,,,,
731,17054000,,,,,
732,16215800,,,,,
733,16839100,,,,,
734,18147900,,,,,
735,16928200,,,,,
736,15235000,,,,,
737,16432200,,,,,
738,16426800,,,,,
739,16936400,,,,,
740,15343600,,,,,
741,15674600,,,,,
742,15137500,,,,,
743,15434800,,,,,
744,15572400,,,,,
745,16588600,,,,,
746,17478400,,,,,
747,17245800,,,,,
748,17622800,,,,,
749,17142900,,,,,
750,16154400,,,,,
751,16866800,,,,,
752,15308800,,,,,
753,15755500,,,,,
754,15171900,,,,,
755,15602600,,,,,
756,15072700,,,,,
757,15699500,,,,,
758,15374000,,,,,
759,15879200,,,,,
760,15304300,,,,,
761,16835300,,,,,
762,15390000,,,,,
763,16288000,,,,,
764,16111800,,,,,
765,17466600,,,,,
766,15136800,,,,,
767,15554600,,,,,
768,15122100,,,,,
769,15619400,,,,,
770,15728900,,,,,
771,16927700,,,,,
772,17385100,,,,,
773,16480200,,,,,
774,15286800,,,,,
775,15595200,,,,,
776,15249000,,,,,
777,15448900,,,,,
778,15363200,,,,,
779,15472500,,,,,
780,15355800,,,,,
781,15660200,,,,,
782,15249700,,,,,
783,16160900,,,,,
784,15986400,,,,,
785,17778900,,,,,
786,16765900,,,,,
787,16462600,,,,,
788,16117000,,,,,
789,16580100,,,,,
790,17711500,,,,,
791,17145300,,,,,
792,14549700,,,,,
793,15876200,,,,,
794,15421300,,,,,
795,16577700,,,,,
796,16385100,,,,,
797,16905400,,,,,
798,16543100,,,,,
799,17469500,,,,,
800,16132700,,,,,
801,17026700,,,,,
802,16416100,,,,,
803,17431500,,,,,
